Protein1,Protein2,Class
P49418,Q96PQ6,0
A0A1W2PPD8,P48730,0
A0PK11,Q9Y4W2,0
A6NKD9,O75888,0
P02787,Q9UID3,0
P16298,P50052,0
P59922,Q9BV86,0
Q01581,Q8IY84,0
Q13956,Q6IN97,0
Q7L8J4,Q8WXH2,0
Q8N0V4,Q99732,0
Q96A73,Q9GZZ7,0
Q9H7X2,Q9P015,0
Q8TDU9,Q9Y5Q6,1
O14512,Q9UIH9,0
Q14956,Q8NCK7,0
P24539,P56134,1
A0A075B6P5,Q15084,0
O43281,Q5RKV6,0
P02776,Q96FT9,0
P23588,Q9UBE8,0
P78412,Q7M4L6,0
Q0P651,Q9NRL3,0
Q3T906,Q8IYR6,0
Q5T9C9,Q96EE4,0
P0DPK5,Q9UPN9,1
A0A0J9YXY3,Q0Z7S8,0
P19075,Q6IB77,0
Q86YW5,Q9H6Z9,0
Q96GJ1,Q9UHA2,0
Q9BV68,Q9UKQ9,0
A0A0B4J274,Q7Z7N9,0
P04180,P09884,0
P0DUD3,Q96MT4,0
P33260,P46109,0
P40313,Q9NWF9,0
P41145,P57771,0
P48449,Q96HM7,0
P54098,Q5SZJ8,0
Q03060,Q16706,0
Q6GPI1,Q96L21,0
Q7Z429,Q9UL19,0
Q8WU20,Q9NNX9,0
B2RXF5,Q9NRR2,0
E0CX11,O15066,0
O00743,Q569H4,0
O76071,P59540,0
P41732,Q9BQ95,0
Q16790,Q9Y624,0
Q16816,Q9NUU7,0
Q9BZF3,Q9UPU7,0
Q9NWT8,Q9Y399,0
P13866,Q13113,1
Q09028,Q13111,1
P47883,Q8N3J2,0
P58417,Q92519,0
Q92481,Q9NQV5,0
O43402,Q8NCN2,0
P50151,Q9H0W7,0
P62837,Q9GZU3,0
Q02763,Q9BY41,0
Q16352,Q6VN20,0
Q96KK4,Q99757,0
O95182,P03886,0
O43920,Q9H4R4,0
P05111,Q00987,0
P28358,Q6X784,0
Q8N7X8,Q8NAP1,0
P35558,Q06520,0
Q969H0,Q96QH8,0
Q96NT3,Q9Y603,0
O76061,Q13219,1
P01911,Q9BZS1,0
P42081,Q9C010,0
P51798,Q9HB63,0
Q86WK9,Q9NRC9,0
Q92802,Q96ER9,0
Q96GW9,Q9BW27,0
Q9UKU6,Q9Y2V3,0
Q14197,Q9Y399,0
A0A0C4DH29,Q7Z5U6,0
A0A1B0GTR4,Q8WY21,0
O60478,P0C221,0
O95156,Q5TYX0,0
P0C7T2,Q9Y5E1,0
P23760,Q9ULC6,0
Q13287,Q9H8Y5,0
Q9Y2Q9,Q9Y2Q9,0
P85299,Q9UH90,0
Q6ZRM9,Q9NQM4,0
Q9P209,Q9UBQ6,0
O75251,Q9Y6M9,0
A1L0T0,Q96FK6,0
O15428,Q16772,0
P01709,Q9BX26,0
P0C869,Q5SW96,0
P32881,Q8NAP1,0
P35218,Q8NEG5,0
P43652,Q13342,0
Q15672,Q8NAB2,0
A6NL08,Q9C0I9,0
P35398,Q8NHS0,0
P54922,P68032,0
Q8IYR0,Q8WWK9,0
Q8NHC6,Q9NUY8,0
P82932,Q9P015,0
P11473,Q96R54,0
Q6EEV6,Q9H3S3,0
P10909,Q7KZN9,0
A6NH00,Q99731,0
P18847,P34932,0
P22003,Q8NA03,0
P30518,Q8NA58,0
P62258,Q96LC7,0
Q06520,Q969M7,0
Q08AM6,Q9H9A6,0
Q13185,Q9NWS6,0
Q14738,Q8N878,0
Q8WVP7,Q9BWL3,0
Q9H8M9,Q9UGT4,0
O75438,O95169,0
P49406,Q96BP2,0
P49406,Q9BYN8,0
P82673,Q9Y2R9,0
P82930,Q96BP2,0
P50406,P63092,1
Q8TAF3,Q9NVI1,1
A0A1B0GTS1,Q96PG2,0
Q5EB52,Q96EE4,0
Q6PIJ6,Q9ULY5,0
Q8NH83,Q9BXR5,0
Q96FJ2,Q9Y4L1,0
O94886,P0DPA2,0
O95372,Q8NGY5,0
P50458,Q9Y6C2,0
Q8IY57,Q9BYI3,0
Q9BSG5,Q9NQX7,0
Q96EY7,Q9BYD1,0
Q8N0S6,Q9NSP4,1
A0A0A6YYD4,Q8TBF5,0
O00622,Q8N7G0,0
Q69YH5,Q8NBK3,0
Q6ZQY3,Q8N907,0
Q8N137,Q96EK2,0
O43929,Q9BXP5,0
P62861,Q9Y2T4,0
Q13617,Q5T8P6,0
Q2TAK8,Q765P7,0
P09001,Q92665,0
A6NFU0,O00408,0
A6NK53,Q14773,0
Q86XZ4,Q8N6Y0,0
Q8IX90,Q9Y240,0
Q92902,Q99490,0
P82914,Q96EL2,0
P82914,Q9H2W6,0
Q9BYD2,Q9Y6G3,0
A6NJI9,Q5TA50,0
P16619,Q5T440,0
P22735,Q8TEQ6,0
P56199,Q8WUU8,0
Q01459,Q9P2D0,0
Q01780,Q7Z572,0
Q4KMZ1,Q96A00,0
Q8NCR0,Q8NGV7,0
Q9NWT8,Q9NYK5,0
O75143,Q96KP6,0
P10747,Q969W3,0
P40337,Q8N807,0
P54107,Q5VZP5,0
Q16820,Q969P5,0
Q6L8H2,Q9Y3D2,0
Q8NA57,Q9H239,0
Q8WZ04,Q9NS28,0
Q92930,Q9UNH6,0
P15336,P60880,0
P61278,Q5MY95,0
P98155,Q6ZWJ8,0
Q15323,Q9HAQ2,0
A0JD36,Q96D71,0
A6NN90,Q9UKX5,0
O43916,Q8TDG2,0
O60496,Q86TI4,0
O75165,Q9UIM3,0
O76002,P35225,0
P52657,Q9H3M9,0
Q8N6I4,Q9UPU3,0
Q96G46,Q9UHP7,0
O43920,P03905,0
P0DP23,Q6DN90,1
A0A0D9SF12,Q53FD0,0
P0CL83,Q14028,0
P40205,Q9P1W9,0
P51957,Q8TAV4,0
P58401,Q9Y342,0
Q05215,Q8NH48,0
Q13239,Q9C0J9,0
Q4G112,Q9P2M1,0
A0A1B0GX56,A0A3B3IRV3,0
E5RJ46,P0DI82,0
O60671,Q8NFP7,0
P0C8F1,Q96R05,0
Q9C0K7,Q9NVM6,0
O43548,Q68DL7,0
O60493,Q8IYD1,0
O75175,Q8TAB5,0
P0DSN6,Q8WVC0,0
P18564,Q9NR31,0
P55895,Q8TF42,0
Q6B0K9,Q96NT0,0
Q6NWY9,Q7Z6L0,0
Q6P3S1,Q8WXF3,0
Q8ND07,Q8NGY6,0
O95182,P03891,0
Q8N5N7,Q9H9J2,1
P49750,P60510,0
P57053,Q9Y468,0
P59551,Q9Y286,0
Q86Y28,Q9Y5X3,0
Q96LZ7,Q9BZ67,0
A6NHQ2,P22694,0
A8MXV4,Q9Y5P0,0
O43827,Q86UE4,0
O95096,P20849,0
P0CG20,Q96BD5,0
P17483,Q5T7M4,0
Q02952,Q53T94,0
Q17R89,Q96GP6,0
Q6UXH9,Q9UIS9,0
Q8WWG9,Q9UJW3,0
P18054,Q9ULZ1,0
P30050,Q8IZQ8,0
P59646,Q86VQ3,0
Q6WRI0,Q96CN5,0
D3W0D1,Q9H171,0
O43916,Q96EM0,0
P01308,P59025,0
P05107,Q8IVV8,0
P17174,Q96P31,0
P48723,Q8TDY8,0
P58340,P59773,0
Q07973,Q13946,0
Q13191,Q6UW02,0
Q14929,Q9BPX7,0
Q7Z569,Q9UJX2,0
Q8WUZ0,Q9NZD4,0
Q8WY36,Q96D53,0
A0A075B6J6,Q9BRP4,0
O95163,Q9BT78,0
O95390,Q9UGI8,0
P14784,Q86W54,0
Q969W0,Q96L08,0
A6NEL2,Q14318,0
B4DS77,Q8NGI8,0
H7C350,Q6ZNF0,0
O14967,P20138,0
O75489,Q9BR76,0
O95810,Q96S86,0
P30203,Q6UXB4,0
P78367,Q9NRA0,0
Q12884,Q9BYJ1,0
Q30KQ4,Q9GZZ6,0
Q3KP44,Q96MZ4,0
Q7Z4F1,Q9P0Z9,0
A0A1B0GTH6,P17029,0
C9JI98,P0DTE4,0
K7EJ46,Q96K78,0
O00423,Q9P2D0,0
P13928,Q86T20,0
Q0VAK6,Q9Y2S7,0
Q49A26,Q9NZH6,0
Q6FI81,Q86V97,0
Q6P3S1,Q8N6T3,0
Q96EL2,Q9BYC8,0
P20337,Q6BDI9,1
Q5VXI9,Q6PIL6,0
Q6B8I1,Q8NGZ9,0
Q7Z7C8,Q8TC26,0
Q92837,Q96MN5,0
Q96PX6,Q9Y3C0,0
A6NCE7,Q96DX5,0
O00628,Q9UMX3,0
O95196,P20594,0
P0C2S0,P51571,0
P0C7T4,Q8WVI0,0
P18846,P26992,0
P23352,Q8NGR8,0
Q496A3,Q9UDR5,0
Q8IYD2,Q96HI0,0
Q92754,Q9NY30,0
O75586,Q9ULK4,0
A6NI28,P51153,0
O15440,Q96G97,0
O15496,Q99909,0
O76061,Q9H0I3,0
O76074,Q9NWM0,0
P0DPH9,Q8N878,0
P60842,Q7Z7M1,0
P62310,Q8IUK5,0
Q16533,Q8NGH7,0
Q5VTJ3,Q9H2L5,0
Q86TL2,Q9UKB5,0
Q8TAF5,Q99523,0
A0A0B4J271,Q9Y6C7,0
O43187,Q5GH76,0
P01780,Q8N7R1,0
P82933,Q9Y291,0
Q71F23,Q96H22,1
A0A0A0MS00,O60812,0
O15514,P29372,0
P47872,Q7Z7D3,0
Q16531,Q96H40,0
Q7RTU1,Q8NG27,0
Q8N6N6,Q9H2H8,0
Q9NVQ4,Q9NXF7,0
Q71SY5,Q9Y3C7,0
O75616,P39059,0
Q02318,Q9H0M4,0
Q14165,Q9UIX4,0
Q6IPT4,Q86UR1,0
Q86V81,Q8N465,0
Q8IYR6,Q9HCM3,0
Q9H6Z4,Q9H930,0
O43677,O43677,0
O76096,Q8WUX1,0
Q9UHY8,Q9Y2I6,0
A0PJZ0,Q92913,0
A6NKN8,A8MUI8,0
B7ZBB8,Q9H825,0
O14717,Q14525,0
O15083,Q9NRS4,0
O15144,O75970,0
O15381,O94810,0
O43414,Q96S65,0
O43900,Q6QHC5,0
O95197,Q6ZQX7,0
P01906,P62495,0
P07202,Q8WWL7,0
P0DI80,Q8N111,0
P10966,Q9Y2K1,0
P48552,Q12816,0
P53804,Q13258,0
P59536,Q9BQI5,0
Q09161,Q9NWA0,0
Q13434,Q6ZTR7,0
Q14997,Q8N2G6,0
Q15583,Q6UX01,0
Q5BVD1,Q6TFL4,0
Q5TEU4,Q92949,0
Q6PD74,Q8NDN9,0
Q6UXE8,Q9H7P6,0
Q8IZA0,Q8N2G4,0
Q8WXX7,Q9H9S4,0
Q9H1Y3,Q9NY97,0
P49406,Q9Y2Q9,0
P51398,Q9NX20,0
P82664,Q8TCC3,0
P82675,Q6P161,0
Q9BYD3,Q9BYN8,0
P63096,Q16661,0
Q5HYR2,Q75WM6,0
P03891,P17568,0
A8K0S8,Q13263,0
O15350,Q8NEE8,0
O43399,Q9ULW5,0
P04049,Q68BL8,0
P07437,Q96I13,0
Q12882,Q8NFZ3,0
Q14CS0,Q96B70,0
Q4VXA5,Q6UWW8,0
Q86TP1,Q8IWB6,0
Q9H788,Q9Y2L1,0
A0A577,Q6PL18,0
A6NM10,Q6PCT2,0
O43155,Q9HBW0,0
O60725,O75526,0
O75427,Q86TM6,0
O94900,Q16553,0
P10323,Q02962,0
P14317,Q9NYR9,0
P41159,Q9Y2H5,0
A0JD32,P63220,0
O95716,Q2MKA7,0
P01571,Q86UY6,0
Q14865,Q8NGI7,0
Q92630,Q9H5Z1,0
Q15007,Q69YN4,1
O95208,P17544,0
P49189,Q86Y78,0
Q5JTN6,Q8WUD1,0
Q658N2,Q9BVV8,0
Q7L591,Q7Z5B4,0
Q9BVH7,Q9Y2Q0,0
Q9H5Y7,Q9UF02,0
Q9UGK3,Q9UHP6,0
P03901,P03901,0
P51398,P82650,0
O14594,Q9NQT6,0
P01130,Q01453,0
P04439,Q9BVG9,0
P23528,Q5T8D3,0
Q13330,Q9HAV5,0
Q5VYY1,Q8TCQ1,0
A0A0A0MRZ8,O15079,0
A1A4S6,Q8WXD9,0
A6BM72,P17480,0
O14544,P55010,0
P0DJ93,Q9BZ68,0
P14136,Q8N6V9,0
P27986,Q8WWB5,0
Q13496,Q92819,0
Q15637,Q96E93,0
Q9NVD3,Q9UBU3,0
Q13352,Q71F23,1
C0HM01,Q9Y446,0
O43422,P25874,0
O75791,P53609,0
P0C7T4,Q9Y5M8,0
P14207,Q9HCU9,0
P78562,Q6BAA4,0
Q13352,Q9BU64,1
A0A0C4DH42,P49918,0
A6NFN9,P11161,0
O76087,P0DN26,0
O95292,Q99909,0
P20336,Q9BUA3,0
P23435,Q9UQ52,0
A6NH21,Q9BVN2,0
H3BV60,P40425,0
O75575,Q5SQI0,0
P0C7P4,Q9H461,0
P22059,Q15349,0
P41273,Q69YU3,0
Q11128,Q9Y5K1,0
Q6UWT2,Q86SJ2,0
Q8WVL7,Q9Y3S2,0
Q13405,Q96A35,0
A0A0B4J2A2,Q5VY80,0
A0PJX2,Q9UGP5,0
A6NN06,Q9H6Z9,0
P04217,Q9Y334,0
P39880,Q9UK99,0
P51797,Q9H1R3,0
P63218,Q9NWH9,0
P78552,Q5SRR4,0
Q14004,Q9NX20,0
Q9BRJ2,Q9NQ50,0
A0A0B4J1U3,Q8WVH0,0
A0A0J9YY54,Q9Y3D6,0
P05556,P84157,0
P38405,Q99828,0
Q01860,Q7Z412,0
Q7RTT4,Q9HB09,0
Q8TF30,Q9Y2L6,0
Q4U2R6,Q96A35,0
A0A0C4DH28,Q8N1Q1,0
A7XYQ1,Q92777,0
O95452,Q53HC9,0
O95502,Q6FIF0,0
P02649,P20809,0
P09769,Q8WW01,0
P15498,P54252,0
P54136,Q9P2E9,0
Q0VDE8,Q9UBQ6,0
Q4G0I0,Q86XP0,0
Q5VSG8,Q96FZ5,0
Q86TA1,Q9Y580,0
Q9H5K3,Q9NPJ6,0
Q9NP50,Q9NPJ6,0
O75964,P59095,0
O95166,Q16661,0
P14621,Q14CB8,0
P80162,Q12796,0
Q5JRS4,Q96JJ7,0
Q71RG6,Q9UPZ9,0
Q7L190,Q8IYD2,0
O00755,O95980,1
O60739,P41439,0
P20309,P20807,0
P37287,Q6UWN8,0
Q01973,Q5VU92,0
Q14031,Q96BF3,0
Q5SXH7,Q9H095,0
Q99502,Q9NPY3,0
Q9NYK5,Q9Y2Q9,0
P07910,Q92934,0
P49675,Q9BRA2,0
Q15555,Q86VH2,0
Q5VUJ9,Q8WXF3,0
Q6GPI1,Q9BXD5,0
Q8WYR4,Q96MC6,0
Q9P0V8,Q9UI95,0
O15239,O15239,0
O15537,Q13361,0
P05181,Q9H3L0,0
P08708,Q9UJW3,0
P78426,Q96CM4,0
Q495T6,Q9BXA7,0
Q8TE96,Q8WY36,0
Q8WVE0,Q9BQ08,0
Q969G6,Q9BV68,0
Q9C0C9,Q9UK76,0
P03886,P03886,0
O14842,Q6XUX3,0
O43255,Q9Y5X5,0
P14384,Q8N4V1,0
P37023,Q9UJX0,0
P50222,Q8IUB5,0
P51160,Q9NRQ2,0
P84085,Q2TBA0,0
Q01524,Q9H0E2,0
Q2MJR0,Q8IY37,0
Q75LS8,Q9H930,0
O14503,Q9Y673,0
P06899,Q92576,0
P10599,Q9Y3E1,0
Q13952,Q9UBX5,0
Q53SZ7,Q9UL49,0
Q5BKY1,Q9BUW7,0
Q6UUV7,Q93045,0
Q6ZVM7,Q8N752,0
Q86SI9,Q8TDS4,0
Q86VX2,Q8IYX1,0
A6NHS7,Q12908,0
B8ZZ34,P61960,0
O95154,Q09327,0
P48058,Q9H816,0
Q86Y39,Q9NX14,0
O75679,P54259,0
A0A1B0GTB2,Q2KJY2,0
A6NDD5,P01308,0
A6NL88,Q99928,0
A8MXY4,Q8N1L4,0
P31274,Q9HCL0,0
P60022,Q86XI6,0
P61579,Q9UKA2,0
Q5T230,Q68DX3,0
Q6ULP2,Q96S15,0
Q6ZMJ4,Q9UH36,0
Q86TI2,Q8NH50,0
Q8TDQ0,Q9UBL9,0
Q96MH2,Q9Y5G1,0
P82932,Q7Z7F7,0
Q7Z7F7,Q9Y2Q9,0
Q9BRJ2,Q9Y2R5,0
A6ND01,P61586,0
O95456,P62877,0
P01009,Q86SG2,0
P17032,Q9ULC3,0
P50454,Q6ICL7,0
Q05682,Q14154,0
Q14994,Q8IXS2,0
Q86UF1,Q99574,0
Q8NG85,Q8NGV5,0
O43678,Q86Y39,0
O14559,Q2M1P5,0
O43680,Q9UBK7,0
P01303,Q8N4L2,0
P17181,Q92922,0
P40424,Q8WU17,0
P50281,P51164,0
P57738,Q8NFW9,0
Q5T8A7,Q6PIF2,0
Q5VYV7,Q96JD6,0
Q8N565,Q9Y2V2,0
A0A0A6YYD4,Q69YZ2,0
A6NHG9,Q10469,0
O14562,Q9NXC2,0
P11464,Q7Z3B1,0
P52952,Q96MN9,0
Q02978,Q9Y279,0
Q5H8C1,Q9H9E1,0
A1L390,P10301,0
O43900,Q9NRD0,0
O95167,Q8TEP8,0
P0CG21,Q9UKT9,0
P25398,Q4KWH8,0
P49406,Q96AQ6,0
Q92813,Q9Y615,0
A0A075B6K4,Q9NWH7,0
A1A4G5,O60543,0
A6NDU8,Q9Y216,0
P0C7P0,P12110,0
P26447,Q8NGE2,0
Q03701,Q1W6H9,0
Q13326,Q6NUI1,0
Q56P42,Q9ULC0,0
Q5VWZ2,Q8NEV9,0
Q6IPU0,Q9HBL0,0
Q71SY5,Q92522,0
Q8IV03,Q9NS67,0
Q8IV42,Q9Y2R0,0
Q96JM2,Q9NQZ5,0
Q4U2R6,Q9NWT8,0
Q9NQ50,Q9Y3D5,0
A0A0A0MS04,P61024,0
P04234,Q9ULI3,0
P0DN26,Q587J8,0
P30556,Q96T76,0
Q01534,Q6UWH4,0
Q15007,Q53HV7,0
G3V0H7,Q06828,0
O60759,Q9UGC7,0
O75529,Q86VZ5,0
Q00532,Q8WTW3,0
Q3SXR2,Q8TCE6,0
Q5VV42,Q8TE57,0
Q8IY31,Q8NAP1,0
Q92802,Q9UQ05,0
Q9NVJ2,Q9UGB7,0
Q9P1W9,Q9Y2Y8,0
Q9UQN3,Q9Y618,0
P82673,Q9Y2Q9,0
A8MTT3,O43612,0
O43474,Q567U6,0
P08887,Q15025,0
Q11201,Q8TD20,0
Q15418,Q9H6R4,0
Q2M5E4,Q86W50,0
Q9BVS5,Q9UM63,0
Q9H1Q7,Q9Y5P3,0
A0A3B3IT52,Q9BXK1,0
A6NC05,Q15185,0
O00445,Q01973,0
O43432,Q9P0U4,0
O95397,Q8NCP5,0
O95452,P43359,0
P09093,Q9H2J7,0
P0C7T2,P43308,0
P0C860,Q9H112,0
P0CG13,Q96RD2,0
P13725,P58505,0
P32519,Q5W041,0
P34903,P42857,0
P34910,Q9NQ25,0
P40313,Q9BUG6,0
Q7Z7K0,Q9NQ55,0
Q8N349,Q9NSU2,0
Q96AM1,Q96LB8,0
O95139,O95167,0
P82914,Q9HD33,0
Q8IXM3,Q8TCC3,0
A0A0B4J1X8,Q6PII3,0
P30536,Q9Y6K0,0
P39060,Q9Y6M1,0
P05231,P40189,1
A0A0B4J276,Q15323,0
P07988,P49406,0
P09622,Q96N03,0
P24723,P78412,0
P54727,Q6NW29,0
Q15438,Q9ULW5,0
Q5QJ74,Q96JJ7,0
Q8NDL9,Q9UIM3,0
Q8WWX0,Q9Y5C1,0
A6NI56,Q14106,0
A8MPP1,Q68CZ1,0
O00522,Q9NQL9,0
O75175,Q8TCX5,0
O75689,Q9NZ81,0
O95998,Q15041,0
Q3SXP7,Q8NCQ3,0
Q7L0X0,Q96SL1,0
Q8TCC7,Q96DB9,0
Q8WZ71,Q9BUL9,0
Q969R5,Q9UHE8,0
Q9NX14,Q9NX14,0
A8MYU2,P35968,0
P47869,Q96G30,0
P62491,Q14722,0
Q8NGK1,Q9BXN2,0
Q96HA8,Q99967,0
Q96EL3,Q9Y3D3,0
A6NIZ1,A8MYV0,0
O00526,O60487,0
O15315,Q6ZVW7,0
P60660,Q13426,0
Q8NDY8,Q9UIQ6,0
Q96IZ5,Q9NP60,0
Q96JK9,Q9ULQ1,0
Q9BRJ6,Q9Y615,0
Q9HD33,Q9Y3D9,0
O75594,Q8N695,0
P01185,Q8NAU1,0
Q4LDR2,Q96AQ8,0
Q99963,Q9Y6M0,0
C9JL84,P29320,0
P01767,Q2HXU8,0
P02818,Q15672,0
P08575,Q86VU5,0
P35070,Q8N8P6,0
Q92838,Q9UNE0,1
A0A087WT03,Q9H305,0
A6NHC0,Q5SY13,0
A6NHL2,Q96R54,0
A6NIZ1,Q5T7N3,0
O14994,Q5D862,0
P22891,Q9NVU0,0
Q07817,Q9BWW8,0
Q5TFQ8,Q9UL58,0
Q5VXU9,Q9NV31,0
Q96DD7,Q9NZ52,0
P59510,Q96LR2,0
Q15554,Q8N8J0,0
Q16584,Q16658,0
Q3MIP1,Q96S16,0
Q86SG4,Q8WWR8,0
Q8N7B1,Q8NCN5,0
Q8TC76,Q9UKT6,0
A0A0B4J264,Q9UKV3,0
A0A1B0GVT2,Q96E29,0
O14792,Q9H598,0
P35527,Q9H6B4,0
P35568,Q9ULW6,0
P35590,P85037,0
P54849,Q9NRW1,0
Q53T59,Q9BUE0,0
Q86U02,Q9UK45,0
O14770,P0DV76,0
P50539,Q6NXP2,0
Q08AH3,Q8NHC8,0
Q13634,Q9NY27,0
Q15393,Q5T2Q4,0
Q30KQ1,Q96PE5,0
Q5VYP0,Q6ZST4,0
Q7Z7K0,Q9BQ49,0
O00602,Q9H0T7,0
O94991,P0CK96,0
P05111,Q8NDY3,0
Q12788,Q13515,0
Q5VYS4,Q9H3U1,0
O43677,O95167,0
A2A2V5,Q96SQ7,0
A4D2P6,Q9HCG7,0
P01906,Q9Y3C4,0
P04632,Q9NRP2,0
P19876,Q9UJ90,0
P31277,Q969F8,0
P36896,Q3ZCQ3,0
P40426,Q9H8H2,0
Q14520,Q9BWU0,0
Q6UWQ7,Q86WS5,0
Q96LX7,Q9H5V8,0
O75380,Q16718,0
O00481,O95406,0
O15297,Q9NRC9,0
Q8NGL0,Q92753,0
P03891,Q9P0J0,0
A0A0C4DH43,Q8NGM9,0
A0A1B0GUS0,Q9H825,0
A2RUB6,P62487,0
O15240,Q8N1A0,0
O60427,Q4QY38,0
P05976,P13591,0
Q08830,Q53EL9,0
Q96J84,Q9UJY5,0
O43676,O43677,0
A0A1B0GV90,P07998,0
B5MD39,Q96LR2,0
O43790,Q6WRX3,0
O60676,Q9Y5J9,0
P35712,P57105,0
P47211,Q9BZ11,0
P62937,Q7LC44,0
Q15238,Q96D71,0
Q15435,Q96KS9,0
Q6UWV6,Q9NRH3,0
Q8NHY2,Q9UKF6,0
Q92982,Q9H6B4,0
Q96JY6,Q9NX38,0
Q96P11,Q96T59,0
Q9BZM5,Q9UNL4,0
D6R901,O14562,0
O94916,Q68DH5,0
P09012,P52292,0
P26006,Q9GZQ8,0
P46108,Q9Y2H9,0
P48304,Q8NHU0,0
P51449,Q96ER9,0
P61158,Q9BTP6,0
Q86XI6,Q8TD33,0
Q9P227,Q9Y6J9,0
Q6P161,Q9BQC6,0
A4FU28,O75845,0
A6NED2,P33261,0
A8MUP2,Q8WZ92,0
O43704,Q8NGV0,0
O94888,Q9Y620,0
O95297,Q8NHJ6,0
P08034,Q8TAC1,0
P32942,Q7Z3D4,0
P40616,Q69YU3,0
P45973,Q8NGD0,0
P58505,Q9Y294,0
Q13588,Q6ZMY3,0
Q6ZRR7,Q9NX36,0
Q9NTN9,Q9NVL8,0
B2RXH8,Q8N815,0
O75324,Q5H913,0
O95274,Q96B26,0
P62253,Q8WUE5,0
Q13185,Q8WU76,0
Q16537,Q6PII3,0
Q17R98,Q9NXL9,0
Q6X9E4,Q9GZN8,0
Q8IZI9,Q8N4G2,0
O15239,O43676,0
P03923,P03923,0
P16070,Q6UW60,0
P29322,Q8N157,0
Q00688,Q17RR3,0
Q76FK4,Q8WTT0,0
Q86YC2,Q9UJA2,0
Q8NGM9,Q9Y5T4,0
Q96PB7,Q96RT1,0
O43866,Q9UJQ4,0
O76021,Q9Y6N3,0
P51460,Q6UX40,0
Q53S99,Q9BSG0,0
Q5T7R7,Q8N966,0
A0A0A0MS05,Q9GZV5,0
P21741,Q13296,0
Q16394,Q96JF0,0
A0A0B4J2A2,Q17RB8,0
A0A2R8Y4Y8,Q9H7X7,0
A1XBS5,Q9BRQ8,0
A6NFE3,P55774,0
A7MBM2,O75949,0
B1AL88,Q7L190,0
B2RXF0,P56211,0
O14668,Q7LGC8,0
O14737,Q6S5H5,0
O14920,Q8N573,0
O43617,P23786,0
O75056,Q16520,0
O75106,Q8N2U0,0
O75448,Q5UAW9,0
P00439,Q7L945,0
P08100,Q9UI95,0
P0DMV2,Q7LG56,0
P0DN82,P35452,0
P0DP25,Q8TB68,0
P24903,Q14186,0
P25024,Q56P03,0
P48061,P52952,0
P48507,Q6IQ19,0
P52803,Q9UKL3,0
P57054,Q6UWT2,0
P58549,Q9BQ75,0
P62714,Q96LD1,0
P78317,Q92747,0
P84098,Q7Z6K5,0
Q02224,Q9UHA4,0
Q10567,Q8WVK2,0
Q12933,Q15078,0
Q495A1,Q9NZH4,0
Q68CP4,Q9GZU5,0
Q6PIL6,Q9NW38,0
Q6UX53,Q9NX00,0
Q7Z460,Q9UGU5,0
Q86TL0,Q9NZS9,0
Q86Y91,Q96IY1,0
Q86YJ5,Q96PQ1,0
Q8NCH0,Q9HC78,0
Q96S55,Q9UP95,0
Q9H2S9,Q9Y6M1,0
Q9HA38,Q9UKM7,0
Q9NRQ5,Q9UKI9,0
Q9NV23,Q9NZ42,0
Q9UPX6,Q9Y6Q6,0
Q9Y243,Q9Y6F9,0
O00217,O00217,0
O95139,Q86Y39,0
P82673,P82673,0
Q96EL2,Q9NZE8,0
Q9HD33,Q9Y291,0
Q07020,Q8TDN6,1
A0A075B6I3,Q9NUK0,0
C9JLJ4,P78364,0
O76000,P10147,0
P60033,Q9H900,0
Q6UN15,Q8NEN0,0
Q6UWQ7,Q9BQ24,0
Q8NGX1,Q9NX76,0
O14662,Q13586,0
O15444,Q8NGS3,0
P13866,Q96AZ6,0
Q7Z4L9,Q9NVJ2,0
Q8IZP0,Q8N4B1,0
O60635,Q9UQ72,0
P50052,Q86UW8,0
Q01081,Q8NGN7,0
Q15042,Q6UW32,0
Q2WGJ8,Q6B0B8,0
Q6H3X3,Q86XS5,0
Q96AH0,Q9NZB8,0
Q9H8Y1,Q9Y5H6,0
O95298,O95298,0
Q8N697,Q9HAI6,1
O00220,Q5JTV8,0
P08514,Q5SW79,0
P08908,Q5VW32,0
P13985,Q9BQP9,0
P28799,Q99567,0
P30622,Q9BY15,0
P49773,Q6UDR6,0
Q02338,Q96N22,0
Q8TD17,Q96BP2,0
Q92932,Q9H081,0
Q99426,Q9H300,0
O15194,Q8IXS8,0
Q13309,Q86U28,0
Q15050,Q8NCL8,0
Q15165,Q9NS00,0
Q16609,Q9GZV9,0
Q68EM7,Q9NR12,0
P40189,Q8NEV9,1
A0PK11,Q5HYI7,0
A8MPS7,Q9H0C1,0
O14924,Q92674,0
Q5T292,Q6B8I1,0
Q5TGS1,Q8N5M4,0
Q6PID8,Q8NFM7,0
Q86YM7,Q9Y337,0
P29973,Q14028,1
A0AV96,Q2TAL5,0
A8MT19,O43374,0
P0DP42,Q12870,0
P13805,Q9UH90,0
P28908,Q5JUX0,0
Q08ET2,Q8NDY8,0
Q12905,Q8IYH5,0
Q8IZD4,Q8TBC3,0
Q9BQ48,Q9NWT8,0
F2Z333,O95785,0
P01189,Q7Z7B8,0
P04049,Q9UQ13,0
P42658,Q5T1Q4,0
Q00994,Q9UQF2,0
Q53EV4,Q86YW9,0
Q5T601,Q8NC67,0
Q6UXQ8,Q9UM07,0
Q8N4E4,Q9BVA0,0
Q8TAZ6,Q9P0V3,0
B2RUZ4,P78325,0
O43405,Q9HAC8,0
