Protein1,Protein2,avg_n_models
Q8WXU2,Q9H2B2,0.62
Q8WUB8,Q96GM5,0.62
O15055,Q8IXQ8,0.619
P50583,Q9H210,0.619
Q8IZD0,Q9UKV8,0.619
Q96AQ1,Q96KR4,0.619
P82675,Q8N983,0.619
O14977,Q8WWF5,0.618
P08962,Q8IXH8,0.618
P09038,P48507,0.618
A0A0A0MS02,Q9P2R7,0.617
A0A3B3IT33,Q9NRR3,0.617
A6NJT0,Q96LJ8,0.617
P04040,P54274,0.617
P13500,Q96R48,0.617
Q49A88,Q9BWN1,0.617
Q7Z628,Q92823,0.617
Q12824,Q8WUB8,0.617
P13631,Q5VT33,0.616
Q8N3C7,Q9NX57,0.616
Q8TAS1,Q9NSE4,0.616
Q9BRT3,Q9UFP1,0.616
P63092,Q99679,0.616
A0AV02,Q6ZU52,0.615
A9YTQ3,Q99504,0.615
B3EWG6,Q9BRN9,0.615
O43914,Q9Y4Y9,0.615
P11142,Q92982,0.615
P14867,Q9ULH4,0.615
P78314,Q8N987,0.615
Q8TEZ7,Q9C0B7,0.615
Q96SB4,Q9NRW7,0.615
Q01167,Q9Y3C6,0.614
Q0VGE8,Q9BPX5,0.614
Q15070,Q96JQ2,0.614
Q6ZVF9,Q96A70,0.614
Q8TDW4,Q9UBD6,0.614
P82932,Q96EL2,0.614
P82933,Q7Z7H8,0.614
P07197,Q8TE82,0.613
Q92562,Q9NQ31,0.613
O15303,P15291,0.612
Q13424,Q9BWW7,0.612
A0A539,Q13546,0.611
O00148,Q9NTI5,0.611
O43581,Q96BM9,0.611
P21757,Q96RR1,0.611
Q13233,Q86XH1,0.611
Q14320,Q8N9Q2,0.611
Q8NA70,Q9NZC2,0.611
Q8TC17,Q96F45,0.611
Q96QF7,Q9UBS8,0.611
Q99595,Q9Y5Y6,0.611
P51398,Q14197,0.611
Q96EL2,Q9H2W6,0.611
A0A1B0GX56,Q13563,0.61
O76083,Q96K49,0.61
P48061,Q8NGY7,0.61
P62081,Q2L4Q9,0.61
Q8N6H7,Q8NBR6,0.61
Q96EL2,Q9NX20,0.61
P61353,Q9NZM5,0.61
A1XBS5,P35609,0.609
A8MXT2,Q5HY92,0.609
P14625,Q9H7X3,0.609
Q9NYK5,Q9P0M9,0.609
A0A0B4J274,P51124,0.608
O75489,Q9NYW8,0.608
P01241,Q8NGK6,0.608
P10082,Q9NWR8,0.608
Q5VSY0,Q9BQE3,0.608
Q6UXP7,Q9H246,0.608
Q96GG9,Q96MF2,0.608
A0A1B0GTL2,Q9H0A9,0.607
D6RIA3,Q15198,0.607
P17927,Q15777,0.607
P56211,Q86WT6,0.607
Q16674,Q8NDD1,0.607
O94985,P53803,0.606
P59539,Q8WTQ7,0.606
P98077,Q9BSK4,0.606
Q15572,Q9Y4G2,0.606
Q49AA0,Q9HC52,0.606
Q9NP92,Q9Y399,0.606
P51003,Q969W0,0.605
Q96EL3,Q9H1C7,0.605
Q96NR8,Q9H4F8,0.605
O43586,P61574,0.604
P10643,Q7RTN6,0.604
Q4KMG0,Q7Z5M5,0.604
Q8IUK5,Q8N5W8,0.604
Q96DB5,Q9BQB6,0.604
Q99743,Q9UJ78,0.604
P62829,Q13823,0.604
A6NFA1,Q96GC9,0.603
O60258,P14598,0.603
O95718,P07954,0.603
P0CW18,Q8TC76,0.603
P17181,P24522,0.603
P78410,Q9NZJ9,0.603
Q6PGQ1,Q99959,0.603
Q8TEB9,Q9UBQ7,0.603
Q4U2R6,Q96EL2,0.603
P04234,Q96DD7,0.602
P98175,Q15814,0.602
Q13888,Q9NWY4,0.602
Q86X67,Q96DR7,0.602
Q8N0S2,Q9NX09,0.602
Q9P2N5,Q9UIY3,0.602
P33681,Q9NZQ7,0.602
A0A075B6L2,A6NIR3,0.601
D6RGX4,O75715,0.601
O00570,P24394,0.601
P05000,Q5XUX0,0.601
P43355,Q9NQZ3,0.601
P49418,Q96PQ6,0.601
A0A1W2PPD8,P48730,0.6
A0PK11,Q9Y4W2,0.6
A6NKD9,O75888,0.6
P02787,Q9UID3,0.6
P16298,P50052,0.6
P59922,Q9BV86,0.6
Q01581,Q8IY84,0.6
Q13956,Q6IN97,0.6
Q7L8J4,Q8WXH2,0.6
Q8N0V4,Q99732,0.6
Q96A73,Q9GZZ7,0.6
Q9H7X2,Q9P015,0.6
Q8TDU9,Q9Y5Q6,0.6
O14512,Q9UIH9,0.599
Q14956,Q8NCK7,0.599
P24539,P56134,0.599
A0A075B6P5,Q15084,0.598
O43281,Q5RKV6,0.598
P02776,Q96FT9,0.598
P23588,Q9UBE8,0.598
P78412,Q7M4L6,0.598
Q0P651,Q9NRL3,0.598
Q3T906,Q8IYR6,0.598
Q5T9C9,Q96EE4,0.598
P0DPK5,Q9UPN9,0.598
A0A0J9YXY3,Q0Z7S8,0.597
P19075,Q6IB77,0.597
Q86YW5,Q9H6Z9,0.597
Q96GJ1,Q9UHA2,0.597
Q9BV68,Q9UKQ9,0.597
A0A0B4J274,Q7Z7N9,0.596
P04180,P09884,0.596
P0DUD3,Q96MT4,0.596
P33260,P46109,0.596
P40313,Q9NWF9,0.596
P41145,P57771,0.596
P48449,Q96HM7,0.596
P54098,Q5SZJ8,0.596
Q03060,Q16706,0.596
Q6GPI1,Q96L21,0.596
Q7Z429,Q9UL19,0.596
Q8WU20,Q9NNX9,0.596
B2RXF5,Q9NRR2,0.595
E0CX11,O15066,0.595
O00743,Q569H4,0.595
O76071,P59540,0.595
P41732,Q9BQ95,0.595
Q16790,Q9Y624,0.595
Q16816,Q9NUU7,0.595
Q9BZF3,Q9UPU7,0.595
Q9NWT8,Q9Y399,0.595
P13866,Q13113,0.595
Q09028,Q13111,0.595
P47883,Q8N3J2,0.594
P58417,Q92519,0.594
Q92481,Q9NQV5,0.594
O43402,Q8NCN2,0.593
P50151,Q9H0W7,0.593
P62837,Q9GZU3,0.593
Q02763,Q9BY41,0.593
Q16352,Q6VN20,0.593
Q96KK4,Q99757,0.593
O95182,P03886,0.593
O43920,Q9H4R4,0.592
P05111,Q00987,0.592
P28358,Q6X784,0.592
Q8N7X8,Q8NAP1,0.592
P35558,Q06520,0.591
Q969H0,Q96QH8,0.591
Q96NT3,Q9Y603,0.591
O76061,Q13219,0.591
P01911,Q9BZS1,0.59
P42081,Q9C010,0.59
P51798,Q9HB63,0.59
Q86WK9,Q9NRC9,0.59
Q92802,Q96ER9,0.59
Q96GW9,Q9BW27,0.59
Q9UKU6,Q9Y2V3,0.59
Q14197,Q9Y399,0.59
A0A0C4DH29,Q7Z5U6,0.589
A0A1B0GTR4,Q8WY21,0.589
O60478,P0C221,0.589
O95156,Q5TYX0,0.589
P0C7T2,Q9Y5E1,0.589
P23760,Q9ULC6,0.589
Q13287,Q9H8Y5,0.589
Q9Y2Q9,Q9Y2Q9,0.589
P85299,Q9UH90,0.588
Q6ZRM9,Q9NQM4,0.588
Q9P209,Q9UBQ6,0.588
O75251,Q9Y6M9,0.588
A1L0T0,Q96FK6,0.587
O15428,Q16772,0.587
P01709,Q9BX26,0.587
P0C869,Q5SW96,0.587
P32881,Q8NAP1,0.587
P35218,Q8NEG5,0.587
P43652,Q13342,0.587
Q15672,Q8NAB2,0.587
A6NL08,Q9C0I9,0.586
P35398,Q8NHS0,0.586
P54922,P68032,0.586
Q8IYR0,Q8WWK9,0.586
Q8NHC6,Q9NUY8,0.586
P82932,Q9P015,0.586
P11473,Q96R54,0.585
Q6EEV6,Q9H3S3,0.585
P10909,Q7KZN9,0.584
A6NH00,Q99731,0.583
P18847,P34932,0.583
P22003,Q8NA03,0.583
P30518,Q8NA58,0.583
P62258,Q96LC7,0.583
Q06520,Q969M7,0.583
Q08AM6,Q9H9A6,0.583
Q13185,Q9NWS6,0.583
Q14738,Q8N878,0.583
Q8WVP7,Q9BWL3,0.583
Q9H8M9,Q9UGT4,0.583
O75438,O95169,0.583
P49406,Q96BP2,0.583
P49406,Q9BYN8,0.583
P82673,Q9Y2R9,0.583
P82930,Q96BP2,0.583
P50406,P63092,0.583
Q8TAF3,Q9NVI1,0.583
A0A1B0GTS1,Q96PG2,0.582
Q5EB52,Q96EE4,0.582
Q6PIJ6,Q9ULY5,0.582
Q8NH83,Q9BXR5,0.582
Q96FJ2,Q9Y4L1,0.582
O94886,P0DPA2,0.581
O95372,Q8NGY5,0.581
P50458,Q9Y6C2,0.581
Q8IY57,Q9BYI3,0.581
Q9BSG5,Q9NQX7,0.581
Q96EY7,Q9BYD1,0.581
Q8N0S6,Q9NSP4,0.581
A0A0A6YYD4,Q8TBF5,0.58
O00622,Q8N7G0,0.58
Q69YH5,Q8NBK3,0.58
Q6ZQY3,Q8N907,0.58
Q8N137,Q96EK2,0.58
O43929,Q9BXP5,0.579
P62861,Q9Y2T4,0.579
Q13617,Q5T8P6,0.579
Q2TAK8,Q765P7,0.579
P09001,Q92665,0.579
A6NFU0,O00408,0.578
A6NK53,Q14773,0.578
Q86XZ4,Q8N6Y0,0.578
Q8IX90,Q9Y240,0.578
Q92902,Q99490,0.578
P82914,Q96EL2,0.578
P82914,Q9H2W6,0.578
Q9BYD2,Q9Y6G3,0.578
A6NJI9,Q5TA50,0.577
P16619,Q5T440,0.577
P22735,Q8TEQ6,0.577
P56199,Q8WUU8,0.577
Q01459,Q9P2D0,0.577
Q01780,Q7Z572,0.577
Q4KMZ1,Q96A00,0.577
Q8NCR0,Q8NGV7,0.577
Q9NWT8,Q9NYK5,0.577
O75143,Q96KP6,0.576
P10747,Q969W3,0.576
P40337,Q8N807,0.576
P54107,Q5VZP5,0.576
Q16820,Q969P5,0.576
Q6L8H2,Q9Y3D2,0.576
Q8NA57,Q9H239,0.576
Q8WZ04,Q9NS28,0.576
Q92930,Q9UNH6,0.576
P15336,P60880,0.575
P61278,Q5MY95,0.575
P98155,Q6ZWJ8,0.575
Q15323,Q9HAQ2,0.575
A0JD36,Q96D71,0.574
A6NN90,Q9UKX5,0.574
O43916,Q8TDG2,0.574
O60496,Q86TI4,0.574
O75165,Q9UIM3,0.574
O76002,P35225,0.574
P52657,Q9H3M9,0.574
Q8N6I4,Q9UPU3,0.574
Q96G46,Q9UHP7,0.574
O43920,P03905,0.574
P0DP23,Q6DN90,0.574
A0A0D9SF12,Q53FD0,0.573
P0CL83,Q14028,0.573
P40205,Q9P1W9,0.573
P51957,Q8TAV4,0.573
P58401,Q9Y342,0.573
Q05215,Q8NH48,0.573
Q13239,Q9C0J9,0.573
Q4G112,Q9P2M1,0.573
A0A1B0GX56,A0A3B3IRV3,0.572
E5RJ46,P0DI82,0.572
O60671,Q8NFP7,0.572
P0C8F1,Q96R05,0.572
Q9C0K7,Q9NVM6,0.572
O43548,Q68DL7,0.571
O60493,Q8IYD1,0.571
O75175,Q8TAB5,0.571
P0DSN6,Q8WVC0,0.571
P18564,Q9NR31,0.571
P55895,Q8TF42,0.571
Q6B0K9,Q96NT0,0.571
Q6NWY9,Q7Z6L0,0.571
Q6P3S1,Q8WXF3,0.571
Q8ND07,Q8NGY6,0.571
O95182,P03891,0.571
Q8N5N7,Q9H9J2,0.571
P49750,P60510,0.57
P57053,Q9Y468,0.57
P59551,Q9Y286,0.57
Q86Y28,Q9Y5X3,0.57
Q96LZ7,Q9BZ67,0.57
A6NHQ2,P22694,0.569
A8MXV4,Q9Y5P0,0.569
O43827,Q86UE4,0.569
O95096,P20849,0.569
P0CG20,Q96BD5,0.569
P17483,Q5T7M4,0.569
Q02952,Q53T94,0.569
Q17R89,Q96GP6,0.569
Q6UXH9,Q9UIS9,0.569
Q8WWG9,Q9UJW3,0.569
P18054,Q9ULZ1,0.568
P30050,Q8IZQ8,0.568
P59646,Q86VQ3,0.568
Q6WRI0,Q96CN5,0.568
D3W0D1,Q9H171,0.567
O43916,Q96EM0,0.567
P01308,P59025,0.567
P05107,Q8IVV8,0.567
P17174,Q96P31,0.567
P48723,Q8TDY8,0.567
P58340,P59773,0.567
Q07973,Q13946,0.567
Q13191,Q6UW02,0.567
Q14929,Q9BPX7,0.567
Q7Z569,Q9UJX2,0.567
Q8WUZ0,Q9NZD4,0.567
Q8WY36,Q96D53,0.567
A0A075B6J6,Q9BRP4,0.566
O95163,Q9BT78,0.566
O95390,Q9UGI8,0.566
P14784,Q86W54,0.566
Q969W0,Q96L08,0.566
A6NEL2,Q14318,0.565
B4DS77,Q8NGI8,0.565
H7C350,Q6ZNF0,0.565
O14967,P20138,0.565
O75489,Q9BR76,0.565
O95810,Q96S86,0.565
P30203,Q6UXB4,0.565
P78367,Q9NRA0,0.565
Q12884,Q9BYJ1,0.565
Q30KQ4,Q9GZZ6,0.565
Q3KP44,Q96MZ4,0.565
Q7Z4F1,Q9P0Z9,0.565
A0A1B0GTH6,P17029,0.564
C9JI98,P0DTE4,0.564
K7EJ46,Q96K78,0.564
O00423,Q9P2D0,0.564
P13928,Q86T20,0.564
Q0VAK6,Q9Y2S7,0.564
Q49A26,Q9NZH6,0.564
Q6FI81,Q86V97,0.564
Q6P3S1,Q8N6T3,0.564
Q96EL2,Q9BYC8,0.564
P20337,Q6BDI9,0.564
Q5VXI9,Q6PIL6,0.563
Q6B8I1,Q8NGZ9,0.563
Q7Z7C8,Q8TC26,0.563
Q92837,Q96MN5,0.563
Q96PX6,Q9Y3C0,0.563
A6NCE7,Q96DX5,0.562
O00628,Q9UMX3,0.562
O95196,P20594,0.562
P0C2S0,P51571,0.562
P0C7T4,Q8WVI0,0.562
P18846,P26992,0.562
P23352,Q8NGR8,0.562
Q496A3,Q9UDR5,0.562
Q8IYD2,Q96HI0,0.562
Q92754,Q9NY30,0.562
O75586,Q9ULK4,0.562
A6NI28,P51153,0.561
O15440,Q96G97,0.561
O15496,Q99909,0.561
O76061,Q9H0I3,0.561
O76074,Q9NWM0,0.561
P0DPH9,Q8N878,0.561
P60842,Q7Z7M1,0.561
P62310,Q8IUK5,0.561
Q16533,Q8NGH7,0.561
Q5VTJ3,Q9H2L5,0.561
Q86TL2,Q9UKB5,0.561
Q8TAF5,Q99523,0.561
A0A0B4J271,Q9Y6C7,0.56
O43187,Q5GH76,0.56
P01780,Q8N7R1,0.56
P82933,Q9Y291,0.56
Q71F23,Q96H22,0.56
A0A0A0MS00,O60812,0.559
O15514,P29372,0.559
P47872,Q7Z7D3,0.559
Q16531,Q96H40,0.559
Q7RTU1,Q8NG27,0.559
Q8N6N6,Q9H2H8,0.559
Q9NVQ4,Q9NXF7,0.559
Q71SY5,Q9Y3C7,0.559
O75616,P39059,0.558
Q02318,Q9H0M4,0.558
Q14165,Q9UIX4,0.558
Q6IPT4,Q86UR1,0.558
Q86V81,Q8N465,0.558
Q8IYR6,Q9HCM3,0.558
Q9H6Z4,Q9H930,0.558
O43677,O43677,0.558
O76096,Q8WUX1,0.557
Q9UHY8,Q9Y2I6,0.557
A0PJZ0,Q92913,0.556
A6NKN8,A8MUI8,0.556
B7ZBB8,Q9H825,0.556
O14717,Q14525,0.556
O15083,Q9NRS4,0.556
O15144,O75970,0.556
O15381,O94810,0.556
O43414,Q96S65,0.556
O43900,Q6QHC5,0.556
O95197,Q6ZQX7,0.556
P01906,P62495,0.556
P07202,Q8WWL7,0.556
P0DI80,Q8N111,0.556
P10966,Q9Y2K1,0.556
P48552,Q12816,0.556
P53804,Q13258,0.556
P59536,Q9BQI5,0.556
Q09161,Q9NWA0,0.556
Q13434,Q6ZTR7,0.556
Q14997,Q8N2G6,0.556
Q15583,Q6UX01,0.556
Q5BVD1,Q6TFL4,0.556
Q5TEU4,Q92949,0.556
Q6PD74,Q8NDN9,0.556
Q6UXE8,Q9H7P6,0.556
Q8IZA0,Q8N2G4,0.556
Q8WXX7,Q9H9S4,0.556
Q9H1Y3,Q9NY97,0.556
P49406,Q9Y2Q9,0.556
P51398,Q9NX20,0.556
P82664,Q8TCC3,0.556
P82675,Q6P161,0.556
Q9BYD3,Q9BYN8,0.556
P63096,Q16661,0.554
Q5HYR2,Q75WM6,0.554
P03891,P17568,0.554
A8K0S8,Q13263,0.553
O15350,Q8NEE8,0.553
O43399,Q9ULW5,0.553
P04049,Q68BL8,0.553
P07437,Q96I13,0.553
Q12882,Q8NFZ3,0.553
Q14CS0,Q96B70,0.553
Q4VXA5,Q6UWW8,0.553
Q86TP1,Q8IWB6,0.553
Q9H788,Q9Y2L1,0.553
A0A577,Q6PL18,0.552
A6NM10,Q6PCT2,0.552
O43155,Q9HBW0,0.552
O60725,O75526,0.552
O75427,Q86TM6,0.552
O94900,Q16553,0.552
P10323,Q02962,0.552
P14317,Q9NYR9,0.552
P41159,Q9Y2H5,0.552
A0JD32,P63220,0.551
O95716,Q2MKA7,0.551
P01571,Q86UY6,0.551
Q14865,Q8NGI7,0.551
Q92630,Q9H5Z1,0.551
Q15007,Q69YN4,0.551
O95208,P17544,0.55
P49189,Q86Y78,0.55
Q5JTN6,Q8WUD1,0.55
Q658N2,Q9BVV8,0.55
Q7L591,Q7Z5B4,0.55
Q9BVH7,Q9Y2Q0,0.55
Q9H5Y7,Q9UF02,0.55
Q9UGK3,Q9UHP6,0.55
P03901,P03901,0.55
P51398,P82650,0.55
O14594,Q9NQT6,0.549
P01130,Q01453,0.549
P04439,Q9BVG9,0.549
P23528,Q5T8D3,0.549
Q13330,Q9HAV5,0.549
Q5VYY1,Q8TCQ1,0.549
A0A0A0MRZ8,O15079,0.548
A1A4S6,Q8WXD9,0.548
A6BM72,P17480,0.548
O14544,P55010,0.548
P0DJ93,Q9BZ68,0.548
P14136,Q8N6V9,0.548
P27986,Q8WWB5,0.548
Q13496,Q92819,0.548
Q15637,Q96E93,0.548
Q9NVD3,Q9UBU3,0.548
Q13352,Q71F23,0.548
C0HM01,Q9Y446,0.547
O43422,P25874,0.547
O75791,P53609,0.547
P0C7T4,Q9Y5M8,0.547
P14207,Q9HCU9,0.547
P78562,Q6BAA4,0.547
Q13352,Q9BU64,0.547
A0A0C4DH42,P49918,0.546
A6NFN9,P11161,0.546
O76087,P0DN26,0.546
O95292,Q99909,0.546
P20336,Q9BUA3,0.546
P23435,Q9UQ52,0.546
A6NH21,Q9BVN2,0.545
H3BV60,P40425,0.545
O75575,Q5SQI0,0.545
P0C7P4,Q9H461,0.545
P22059,Q15349,0.545
P41273,Q69YU3,0.545
Q11128,Q9Y5K1,0.545
Q6UWT2,Q86SJ2,0.545
Q8WVL7,Q9Y3S2,0.545
Q13405,Q96A35,0.545
A0A0B4J2A2,Q5VY80,0.544
A0PJX2,Q9UGP5,0.544
A6NN06,Q9H6Z9,0.544
P04217,Q9Y334,0.544
P39880,Q9UK99,0.544
P51797,Q9H1R3,0.544
P63218,Q9NWH9,0.544
P78552,Q5SRR4,0.544
Q14004,Q9NX20,0.544
Q9BRJ2,Q9NQ50,0.544
A0A0B4J1U3,Q8WVH0,0.543
A0A0J9YY54,Q9Y3D6,0.543
P05556,P84157,0.543
P38405,Q99828,0.543
Q01860,Q7Z412,0.543
Q7RTT4,Q9HB09,0.543
Q8TF30,Q9Y2L6,0.543
Q4U2R6,Q96A35,0.543
A0A0C4DH28,Q8N1Q1,0.542
A7XYQ1,Q92777,0.542
O95452,Q53HC9,0.542
O95502,Q6FIF0,0.542
P02649,P20809,0.542
P09769,Q8WW01,0.542
P15498,P54252,0.542
P54136,Q9P2E9,0.542
Q0VDE8,Q9UBQ6,0.542
Q4G0I0,Q86XP0,0.542
Q5VSG8,Q96FZ5,0.542
Q86TA1,Q9Y580,0.542
Q9H5K3,Q9NPJ6,0.542
Q9NP50,Q9NPJ6,0.542
O75964,P59095,0.541
O95166,Q16661,0.541
P14621,Q14CB8,0.541
P80162,Q12796,0.541
Q5JRS4,Q96JJ7,0.541
Q71RG6,Q9UPZ9,0.541
Q7L190,Q8IYD2,0.541
O00755,O95980,0.541
O60739,P41439,0.54
P20309,P20807,0.54
P37287,Q6UWN8,0.54
Q01973,Q5VU92,0.54
Q14031,Q96BF3,0.54
Q5SXH7,Q9H095,0.54
Q99502,Q9NPY3,0.54
Q9NYK5,Q9Y2Q9,0.54
P07910,Q92934,0.539
P49675,Q9BRA2,0.539
Q15555,Q86VH2,0.539
Q5VUJ9,Q8WXF3,0.539
Q6GPI1,Q9BXD5,0.539
Q8WYR4,Q96MC6,0.539
Q9P0V8,Q9UI95,0.539
O15239,O15239,0.539
O15537,Q13361,0.538
P05181,Q9H3L0,0.538
P08708,Q9UJW3,0.538
P78426,Q96CM4,0.538
Q495T6,Q9BXA7,0.538
Q8TE96,Q8WY36,0.538
Q8WVE0,Q9BQ08,0.538
Q969G6,Q9BV68,0.538
Q9C0C9,Q9UK76,0.538
P03886,P03886,0.538
O14842,Q6XUX3,0.537
O43255,Q9Y5X5,0.537
P14384,Q8N4V1,0.537
P37023,Q9UJX0,0.537
P50222,Q8IUB5,0.537
P51160,Q9NRQ2,0.537
P84085,Q2TBA0,0.537
Q01524,Q9H0E2,0.537
Q2MJR0,Q8IY37,0.537
Q75LS8,Q9H930,0.537
O14503,Q9Y673,0.536
P06899,Q92576,0.536
P10599,Q9Y3E1,0.536
Q13952,Q9UBX5,0.536
Q53SZ7,Q9UL49,0.536
Q5BKY1,Q9BUW7,0.536
Q6UUV7,Q93045,0.536
Q6ZVM7,Q8N752,0.536
Q86SI9,Q8TDS4,0.536
Q86VX2,Q8IYX1,0.536
A6NHS7,Q12908,0.535
B8ZZ34,P61960,0.535
O95154,Q09327,0.535
P48058,Q9H816,0.535
Q86Y39,Q9NX14,0.535
O75679,P54259,0.534
A0A1B0GTB2,Q2KJY2,0.533
A6NDD5,P01308,0.533
A6NL88,Q99928,0.533
A8MXY4,Q8N1L4,0.533
P31274,Q9HCL0,0.533
P60022,Q86XI6,0.533
P61579,Q9UKA2,0.533
Q5T230,Q68DX3,0.533
Q6ULP2,Q96S15,0.533
Q6ZMJ4,Q9UH36,0.533
Q86TI2,Q8NH50,0.533
Q8TDQ0,Q9UBL9,0.533
Q96MH2,Q9Y5G1,0.533
P82932,Q7Z7F7,0.533
Q7Z7F7,Q9Y2Q9,0.533
Q9BRJ2,Q9Y2R5,0.533
A6ND01,P61586,0.532
O95456,P62877,0.532
P01009,Q86SG2,0.532
P17032,Q9ULC3,0.532
P50454,Q6ICL7,0.532
Q05682,Q14154,0.532
Q14994,Q8IXS2,0.532
Q86UF1,Q99574,0.532
Q8NG85,Q8NGV5,0.532
O43678,Q86Y39,0.532
O14559,Q2M1P5,0.531
O43680,Q9UBK7,0.531
P01303,Q8N4L2,0.531
P17181,Q92922,0.531
P40424,Q8WU17,0.531
P50281,P51164,0.531
P57738,Q8NFW9,0.531
Q5T8A7,Q6PIF2,0.531
Q5VYV7,Q96JD6,0.531
Q8N565,Q9Y2V2,0.531
A0A0A6YYD4,Q69YZ2,0.53
A6NHG9,Q10469,0.53
O14562,Q9NXC2,0.53
P11464,Q7Z3B1,0.53
P52952,Q96MN9,0.53
Q02978,Q9Y279,0.53
Q5H8C1,Q9H9E1,0.53
A1L390,P10301,0.529
O43900,Q9NRD0,0.529
O95167,Q8TEP8,0.529
P0CG21,Q9UKT9,0.529
P25398,Q4KWH8,0.529
P49406,Q96AQ6,0.529
Q92813,Q9Y615,0.529
A0A075B6K4,Q9NWH7,0.528
A1A4G5,O60543,0.528
A6NDU8,Q9Y216,0.528
P0C7P0,P12110,0.528
P26447,Q8NGE2,0.528
Q03701,Q1W6H9,0.528
Q13326,Q6NUI1,0.528
Q56P42,Q9ULC0,0.528
Q5VWZ2,Q8NEV9,0.528
Q6IPU0,Q9HBL0,0.528
Q71SY5,Q92522,0.528
Q8IV03,Q9NS67,0.528
Q8IV42,Q9Y2R0,0.528
Q96JM2,Q9NQZ5,0.528
Q4U2R6,Q9NWT8,0.528
Q9NQ50,Q9Y3D5,0.528
A0A0A0MS04,P61024,0.527
P04234,Q9ULI3,0.527
P0DN26,Q587J8,0.527
P30556,Q96T76,0.527
Q01534,Q6UWH4,0.527
Q15007,Q53HV7,0.527
G3V0H7,Q06828,0.526
O60759,Q9UGC7,0.526
O75529,Q86VZ5,0.526
Q00532,Q8WTW3,0.526
Q3SXR2,Q8TCE6,0.526
Q5VV42,Q8TE57,0.526
Q8IY31,Q8NAP1,0.526
Q92802,Q9UQ05,0.526
Q9NVJ2,Q9UGB7,0.526
Q9P1W9,Q9Y2Y8,0.526
Q9UQN3,Q9Y618,0.526
P82673,Q9Y2Q9,0.526
A8MTT3,O43612,0.525
O43474,Q567U6,0.525
P08887,Q15025,0.525
Q11201,Q8TD20,0.525
Q15418,Q9H6R4,0.525
Q2M5E4,Q86W50,0.525
Q9BVS5,Q9UM63,0.525
Q9H1Q7,Q9Y5P3,0.525
A0A3B3IT52,Q9BXK1,0.524
A6NC05,Q15185,0.524
O00445,Q01973,0.524
O43432,Q9P0U4,0.524
O95397,Q8NCP5,0.524
O95452,P43359,0.524
P09093,Q9H2J7,0.524
P0C7T2,P43308,0.524
P0C860,Q9H112,0.524
P0CG13,Q96RD2,0.524
P13725,P58505,0.524
P32519,Q5W041,0.524
P34903,P42857,0.524
P34910,Q9NQ25,0.524
P40313,Q9BUG6,0.524
Q7Z7K0,Q9NQ55,0.524
Q8N349,Q9NSU2,0.524
Q96AM1,Q96LB8,0.524
O95139,O95167,0.524
P82914,Q9HD33,0.524
Q8IXM3,Q8TCC3,0.524
A0A0B4J1X8,Q6PII3,0.523
P30536,Q9Y6K0,0.523
P39060,Q9Y6M1,0.523
P05231,P40189,0.523
A0A0B4J276,Q15323,0.522
P07988,P49406,0.522
P09622,Q96N03,0.522
P24723,P78412,0.522
P54727,Q6NW29,0.522
Q15438,Q9ULW5,0.522
Q5QJ74,Q96JJ7,0.522
Q8NDL9,Q9UIM3,0.522
Q8WWX0,Q9Y5C1,0.522
A6NI56,Q14106,0.521
A8MPP1,Q68CZ1,0.521
O00522,Q9NQL9,0.521
O75175,Q8TCX5,0.521
O75689,Q9NZ81,0.521
O95998,Q15041,0.521
Q3SXP7,Q8NCQ3,0.521
Q7L0X0,Q96SL1,0.521
Q8TCC7,Q96DB9,0.521
Q8WZ71,Q9BUL9,0.521
Q969R5,Q9UHE8,0.521
Q9NX14,Q9NX14,0.521
A8MYU2,P35968,0.52
P47869,Q96G30,0.52
P62491,Q14722,0.52
Q8NGK1,Q9BXN2,0.52
Q96HA8,Q99967,0.52
Q96EL3,Q9Y3D3,0.52
A6NIZ1,A8MYV0,0.519
O00526,O60487,0.519
O15315,Q6ZVW7,0.519
P60660,Q13426,0.519
Q8NDY8,Q9UIQ6,0.519
Q96IZ5,Q9NP60,0.519
Q96JK9,Q9ULQ1,0.519
Q9BRJ6,Q9Y615,0.519
Q9HD33,Q9Y3D9,0.519
O75594,Q8N695,0.518
P01185,Q8NAU1,0.518
Q4LDR2,Q96AQ8,0.518
Q99963,Q9Y6M0,0.518
C9JL84,P29320,0.517
P01767,Q2HXU8,0.517
P02818,Q15672,0.517
P08575,Q86VU5,0.517
P35070,Q8N8P6,0.517
Q92838,Q9UNE0,0.517
A0A087WT03,Q9H305,0.516
A6NHC0,Q5SY13,0.516
A6NHL2,Q96R54,0.516
A6NIZ1,Q5T7N3,0.516
O14994,Q5D862,0.516
P22891,Q9NVU0,0.516
Q07817,Q9BWW8,0.516
Q5TFQ8,Q9UL58,0.516
Q5VXU9,Q9NV31,0.516
Q96DD7,Q9NZ52,0.516
P59510,Q96LR2,0.515
Q15554,Q8N8J0,0.515
Q16584,Q16658,0.515
Q3MIP1,Q96S16,0.515
Q86SG4,Q8WWR8,0.515
Q8N7B1,Q8NCN5,0.515
Q8TC76,Q9UKT6,0.515
A0A0B4J264,Q9UKV3,0.514
A0A1B0GVT2,Q96E29,0.514
O14792,Q9H598,0.514
P35527,Q9H6B4,0.514
P35568,Q9ULW6,0.514
P35590,P85037,0.514
P54849,Q9NRW1,0.514
